[Epoch 0]	Learning rate: 1.00e-4
[1600/80000]	[MSE: 0.0005715680]	30.8+6.9s
[3200/80000]	[MSE: 0.0003692028]	29.9+6.4s
[4800/80000]	[MSE: 0.0002895790]	30.1+6.4s
[6400/80000]	[MSE: 0.0002458495]	30.3+6.7s
[8000/80000]	[MSE: 0.0002172782]	31.5+6.7s
[9600/80000]	[MSE: 0.0001965048]	31.9+6.6s
[11200/80000]	[MSE: 0.0001811006]	31.8+6.5s
[12800/80000]	[MSE: 0.0001691464]	31.9+6.6s
[14400/80000]	[MSE: 0.0001596271]	31.8+6.5s
[16000/80000]	[MSE: 0.0001517978]	31.8+6.6s
[17600/80000]	[MSE: 0.0001450109]	30.8+7.0s
[19200/80000]	[MSE: 0.0001391779]	32.0+6.6s
[20800/80000]	[MSE: 0.0001342150]	31.9+6.6s
[22400/80000]	[MSE: 0.0001298315]	31.8+6.4s
[24000/80000]	[MSE: 0.0001258986]	31.9+6.5s
[25600/80000]	[MSE: 0.0001224517]	32.3+6.5s
[27200/80000]	[MSE: 0.0001193776]	32.2+6.5s
[28800/80000]	[MSE: 0.0001163766]	32.1+6.4s
[30400/80000]	[MSE: 0.0001138674]	31.2+6.5s
[32000/80000]	[MSE: 0.0001115391]	31.2+6.6s
[33600/80000]	[MSE: 0.0001094600]	32.0+6.5s
[35200/80000]	[MSE: 0.0001074626]	30.8+6.5s
[36800/80000]	[MSE: 0.0001055813]	30.8+6.4s
[38400/80000]	[MSE: 0.0001039213]	30.4+6.3s
[40000/80000]	[MSE: 0.0001023634]	30.3+6.3s
[41600/80000]	[MSE: 0.0001008644]	30.4+6.2s
[43200/80000]	[MSE: 0.0000994865]	30.3+6.2s
[44800/80000]	[MSE: 0.0000981704]	30.4+6.3s
[46400/80000]	[MSE: 0.0000969998]	30.3+6.3s
[48000/80000]	[MSE: 0.0000958868]	30.4+6.3s
[49600/80000]	[MSE: 0.0000948643]	30.8+6.4s
[51200/80000]	[MSE: 0.0000938206]	30.6+6.3s
[52800/80000]	[MSE: 0.0000928825]	30.4+6.4s
[54400/80000]	[MSE: 0.0000920381]	30.4+6.3s
[56000/80000]	[MSE: 0.0000911542]	30.4+6.3s
[57600/80000]	[MSE: 0.0000902981]	30.6+6.3s
[59200/80000]	[MSE: 0.0000895003]	30.4+6.4s
[60800/80000]	[MSE: 0.0000886441]	30.4+6.3s
[62400/80000]	[MSE: 0.0000879472]	30.2+6.3s
[64000/80000]	[MSE: 0.0000872145]	30.6+6.5s
[65600/80000]	[MSE: 0.0000865651]	30.9+6.4s
[67200/80000]	[MSE: 0.0000859028]	30.5+6.5s
[68800/80000]	[MSE: 0.0000852781]	30.8+6.5s
[70400/80000]	[MSE: 0.0000846490]	30.8+6.4s
[72000/80000]	[MSE: 0.0000840544]	30.8+6.5s
[73600/80000]	[MSE: 0.0000834962]	30.6+6.4s
[75200/80000]	[MSE: 0.0000829902]	30.8+6.5s
[76800/80000]	[MSE: 0.0000824537]	30.8+6.5s
[78400/80000]	[MSE: 0.0000819557]	30.6+6.4s
[80000/80000]	[MSE: 0.0000814957]	30.5+6.3s

Evaluation:
[DenoiseColorSet68 x1]	PSNR: 28.969 (Best: 28.969 @self.epoch 1)
Forward: 194.63s

Saving...
Total: 194.83s

[Epoch 1]	Learning rate: 1.00e-4
[1600/80000]	[MSE: 0.0000592464]	31.1+6.6s
[3200/80000]	[MSE: 0.0000582740]	31.4+6.3s
[4800/80000]	[MSE: 0.0000573790]	31.8+6.3s
